id,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
51,2016020933,8475883,10,3521,0,0,0,36,34,7,2,25,2,27,7,L,94.44444444,100,92.59259259
52,2016020933,8474889,28,3600,0,0,0,21,20,7,1,12,1,12,8,W,95.23809524,87.5,100
53,2015021066,8475361,6,3600,0,0,0,26,22,0,2,20,2,24,0,L,84.61538462,NA,83.33333333
54,2015021066,8475883,24,3600,0,0,0,38,38,4,0,34,0,34,4,W,100,100,100
55,2015020086,8471750,14,3900,0,0,2,33,29,6,1,22,1,26,6,L,87.87878788,100,84.61538462
56,2015020086,8471469,18,3897,0,0,0,29,25,0,0,25,0,28,1,W,86.20689655,0,89.28571429
57,2017020482,8471239,1,3690,0,0,0,36,34,0,0,34,0,36,0,L,94.44444444,NA,94.44444444
58,2017020482,8471679,8,3709,0,0,0,32,31,5,3,23,3,24,5,W,96.875,100,95.83333333
59,2016021163,8477237,9,3540,0,0,0,27,24,2,0,22,0,25,2,L,88.88888889,100,88
60,2016021163,8476945,52,3593,0,0,0,31,29,3,0,26,0,28,3,W,93.5483871,100,92.85714286
61,2015020687,8475195,22,3546,0,0,0,30,25,0,2,23,3,27,0,L,83.33333333,NA,85.18518519
62,2015020687,8476883,14,3600,0,0,0,26,22,4,1,17,2,20,4,W,84.61538462,100,85
63,2017020706,8474550,8,3597,0,0,0,26,24,5,2,17,2,18,6,W,92.30769231,83.33333333,94.44444444
64,2017020706,8475831,15,3453,0,0,0,25,23,6,1,16,1,17,7,L,92,85.71428571,94.11764706
65,2015020619,8473541,10,3565,0,0,0,31,24,4,0,20,1,26,4,L,77.41935484,100,76.92307692
66,2015020619,8474889,28,3598,0,0,0,28,28,9,1,18,1,18,9,W,100,100,100
67,2017021076,8475660,22,3491,0,0,0,32,31,2,2,27,2,28,2,L,96.875,100,96.42857143
68,2017021076,8469608,20,3598,0,0,0,28,28,2,1,25,1,25,2,W,100,100,100
69,2015020562,8471734,26,3600,0,0,0,24,23,6,0,17,0,18,6,W,95.83333333,100,94.44444444
70,2015020562,8471403,20,3458,0,0,0,23,20,0,1,19,1,22,0,L,86.95652174,NA,86.36363636
71,2016020264,8475883,10,3496,0,0,0,29,27,4,0,23,0,24,5,L,93.10344828,80,95.83333333
72,2016020264,8471679,8,3595,0,0,0,32,31,6,2,23,2,23,7,W,96.875,85.71428571,100
73,2017021046,8468011,24,3510,0,0,0,37,35,1,2,32,2,32,3,L,94.59459459,33.33333333,100
74,2017021046,8470140,25,3579,0,0,0,27,26,3,0,23,0,24,3,W,96.2962963,100,95.83333333
75,2015020201,8466141,13,3600,0,0,0,35,31,1,1,29,1,32,2,L,88.57142857,50,90.625
76,2015020201,8471734,26,3600,0,0,0,19,18,2,0,16,0,17,2,W,94.73684211,100,94.11764706
