"game_id","player_id","team_id","timeOnIce","assists","goals","shots","hits","powerPlayGoals","powerPlayAssists","penaltyMinutes","faceOffWins","faceoffTaken","takeaways","giveaways","shortHandedGoals","shortHandedAssists","blocked","plusMinus","evenTimeOnIce","shortHandedTimeOnIce","powerPlayTimeOnIce"
"2017020812","8473560","24",538,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,527,11,0
"2017020812","8469598","24",1007,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,949,58,0
"2017020812","8478131","24",1020,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,791,0,229
"2017020812","8469506","7",638,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,580,0,58
"2017020812","8474618","7",1588,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,1363,175,50
"2017020812","8471678","7",688,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,490,198,0
"2017020812","8475325","7",522,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,522,0,0
"2017020812","8476931","7",528,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,314,164,50
"2017020812","8473449","7",957,1,0,2,0,0,1,2,0,0,1,0,0,0,1,0,887,0,70
"2017020812","8477933","7",1175,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1105,0,70
"2017020812","8476878","7",1048,0,1,5,1,0,0,0,0,0,0,0,1,0,0,1,949,99,0
"2017020812","8477499","7",1959,0,0,3,5,0,0,2,0,0,1,0,0,0,1,-2,1739,150,70
"2017020812","8478403","7",1248,1,1,6,0,1,0,0,14,18,0,1,0,0,1,0,1161,17,70
"2017020812","8475169","7",1208,0,0,3,1,0,0,0,2,2,1,0,0,0,0,0,1145,0,63
"2017020812","8475158","7",1332,0,1,4,1,0,0,0,20,33,1,0,0,0,0,0,1119,148,65
"2017020812","8473992","7",1072,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,908,164,0
"2017020812","8479268","7",1126,1,0,2,0,0,0,0,0,0,0,1,0,1,2,1,1093,25,8
"2017020812","8475185","7",641,0,0,1,1,0,0,0,0,4,0,0,0,0,1,1,539,94,8
"2017020812","8478542","7",695,0,0,1,0,0,0,2,0,7,0,0,0,0,0,-1,645,0,50
"2017020812","8476293","7",646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,524,122,0
"2017020812","8476470","7",915,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,907,0,8
"2015020314","8467400","21",1355,2,0,1,0,0,1,0,0,0,0,2,0,0,4,0,1095,156,104
"2015020314","8462042","21",1025,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,857,0,168
"2015020314","8473446","21",1417,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1183,122,112
"2015020314","8477902","21",433,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,433,0,0
"2015020314","8475759","21",745,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,745,0,0
"2015020314","8471657","21",916,0,1,3,1,0,0,5,0,0,0,0,0,0,1,2,828,88,0
"2015020314","8474207","21",1283,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,1138,118,27
"2015020314","8474743","21",783,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,783,0,0
"2015020314","8476888","21",1045,1,0,0,0,0,1,0,3,10,0,1,0,0,3,0,827,91,127
"2015020314","8471260","21",1059,1,1,4,2,0,0,2,0,2,0,0,0,0,0,2,887,59,113
"2015020314","8475168","21",1130,0,1,2,1,0,0,0,2,4,1,0,0,0,0,0,893,45,192
"2015020314","8476455","21",1102,1,0,3,2,0,0,0,0,0,1,0,0,0,0,0,897,13,192
"2015020314","8471681","21",521,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,491,30,0
"2015020314","8478561","21",773,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,770,0,3
"2015020314","8475197","21",1448,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1138,84,226
"2015020314","8475780","21",336,0,0,0,1,0,0,0,4,5,0,0,0,0,2,0,336,0,0
